Price,Apartment type,Minutes to metro,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation_Designer,Renovation_European-style renovation,Renovation_Without renovation
15.76142084987672,1,6.0,1.0,32.6,13.8,8.7,3.0,9,False,True,False
15.76142084987672,1,20.0,1.0,46.0,20.0,8.0,11.0,25,False,False,True
15.76142084987672,1,39.0,1.0,38.0,19.0,9.0,9.0,14,False,False,False
15.775605482856605,1,5.0,1.0,39.6,17.6,8.2,2.0,18,False,True,False
15.789591722875162,1,17.0,1.0,40.0,22.4,9.9,4.0,25,False,False,False
15.789591722875162,1,7.0,1.0,35.6,14.0,11.4,7.0,24,False,True,False
15.789591722875162,1,6.0,1.0,40.0,15.7,8.2,2.0,11,False,True,False
15.789591722875162,1,15.0,1.0,32.0,19.0,6.0,3.0,5,False,False,False
15.789591722875162,1,6.0,1.0,38.0,19.0,8.0,7.0,17,False,False,False
15.789591722875162,1,8.0,1.0,39.5,10.0,9.9,2.0,18,False,False,False
15.802014241159043,1,6.0,1.0,38.4,16.8,10.4,14.0,26,False,True,False
15.803385043104912,1,5.0,1.0,39.3,13.2,13.2,22.0,25,False,True,False
15.803385043104912,1,7.0,1.0,39.3,19.5,9.4,3.0,14,False,False,False
15.816990693309524,1,6.0,1.0,39.5,12.7,15.1,22.0,25,False,False,False
15.816990693309524,1,6.0,1.0,34.0,15.0,8.0,9.0,9,False,True,False
15.83028036963463,1,4.0,1.0,32.0,15.0,10.0,2.0,8,False,False,True
15.82372472458392,1,10.0,1.0,32.2,15.0,9.1,9.0,12,False,True,False
15.830413711839864,1,12.0,1.0,32.0,17.0,10.0,7.0,21,False,True,False
15.830413711839864,1,12.0,1.0,57.0,20.6,12.0,1.0,10,False,False,False
15.830413711839864,1,6.0,1.0,37.4,15.2,11.1,5.0,25,False,False,True
15.830413711839864,1,6.0,1.0,34.0,14.0,10.0,20.0,27,False,False,False
15.830413711839864,1,4.0,1.0,34.6,20.0,7.0,12.0,12,False,True,False
15.84234228112411,1,6.0,1.0,35.5,19.0,9.0,8.0,25,False,True,False
15.843658936835498,1,6.0,1.0,39.0,17.0,9.0,3.0,18,False,False,False
15.85932505153463,1,5.0,1.0,46.8,22.3,7.7,1.0,10,False,False,False
15.856731016694035,1,7.0,1.0,38.8,14.1,13.3,24.0,25,False,False,False
15.850216336521664,1,6.0,1.0,38.1,18.0,10.0,20.0,26,False,True,False
15.86320353036178,1,7.0,1.0,34.6,17.0,10.0,25.0,26,False,True,False
15.86963441986494,1,4.0,1.0,39.4,10.0,9.9,12.0,12,False,False,False
15.86963441986494,1,6.0,1.0,40.4,16.3,11.1,1.0,17,False,False,False
15.86963441986494,1,6.0,1.0,39.5,16.6,12.0,20.0,26,False,False,False
15.86320353036178,1,38.0,1.0,41.1,20.0,10.0,8.0,14,False,False,False
15.86963441986494,1,6.0,1.0,37.0,15.2,9.1,24.0,26,True,False,False
15.88868261241667,1,11.0,1.0,33.4,17.0,9.4,2.0,8,False,True,False
15.882373444019521,1,7.0,1.0,36.0,20.0,8.0,3.0,4,False,True,False
15.882373444019521,1,16.0,1.0,34.1,16.3,9.0,1.0,8,False,True,False
15.882373444019521,1,43.0,1.0,37.6,21.1,9.8,4.0,24,False,False,False
15.894827216846577,1,12.0,1.0,33.7,19.2,9.4,10.0,12,False,True,False
15.894952224644102,1,20.0,1.0,40.0,11.0,19.0,5.0,9,False,True,False
15.894952224644102,1,19.0,1.0,33.0,8.0,9.4,6.0,10,False,True,False
15.894952224644102,1,14.0,1.0,33.5,16.2,9.0,1.0,8,False,True,False
15.90737474309945,1,4.0,1.0,38.4,21.5,9.8,2.0,8,False,False,True
15.9195228755444,1,8.0,1.0,47.8,23.4,11.6,2.0,7,True,False,False
15.919644834185693,1,6.0,1.0,47.2,22.0,12.0,19.0,26,False,False,False
15.919644834185693,1,7.0,1.0,35.3,15.0,8.3,5.0,17,False,True,False
